new_instances\new_random_0.txt,[60, 4],64
new_instances\new_random_1.txt,[60, 0],60
new_instances\new_random_10.txt,[88, 0],88
new_instances\new_random_11.txt,[124, 0],124
new_instances\new_random_12.txt,[83, 0],83
new_instances\new_random_13.txt,[80, 0],80
new_instances\new_random_14.txt,[90, 0],90
new_instances\new_random_15.txt,[97, 0],97
new_instances\new_random_16.txt,[79, 0],79
new_instances\new_random_17.txt,[74, 0],74
new_instances\new_random_18.txt,[69, 0],69
new_instances\new_random_19.txt,[85, 0],85
new_instances\new_random_2.txt,[107, 0],107
new_instances\new_random_20.txt,[92, 0],92
new_instances\new_random_21.txt,[67, 0],67
new_instances\new_random_22.txt,[128, 0],128
new_instances\new_random_23.txt,[73, 2],75
new_instances\new_random_24.txt,[83, 0],83
new_instances\new_random_25.txt,[76, 0],76
new_instances\new_random_26.txt,[64, 0],64
new_instances\new_random_27.txt,[80, 0],80
new_instances\new_random_28.txt,[89, 0],89
new_instances\new_random_29.txt,[85, 1],86
new_instances\new_random_3.txt,[76, 0],76
new_instances\new_random_30.txt,[85, 1],86
new_instances\new_random_31.txt,[99, 1],100
new_instances\new_random_32.txt,[75, 0],75
new_instances\new_random_33.txt,[58, 0],58
new_instances\new_random_34.txt,[79, 0],79
new_instances\new_random_35.txt,[88, 0],88
new_instances\new_random_37.txt,[81, 0],81
new_instances\new_random_38.txt,[117, 2],119
new_instances\new_random_39.txt,[89, 3],92
new_instances\new_random_4.txt,[99, 0],99
new_instances\new_random_40.txt,[89, 0],89
new_instances\new_random_41.txt,[76, 0],76
new_instances\new_random_42.txt,[98, 0],98
new_instances\new_random_43.txt,[78, 0],78
new_instances\new_random_44.txt,[101, 0],101
new_instances\new_random_45.txt,[83, 0],83
new_instances\new_random_46.txt,[109, 0],109
new_instances\new_random_47.txt,[111, 0],111
new_instances\new_random_48.txt,[61, 0],61
new_instances\new_random_49.txt,[102, 0],102
new_instances\new_random_5.txt,[100, 0],100
new_instances\new_random_6.txt,[87, 0],87
new_instances\new_random_7.txt,[102, 0],102
new_instances\new_random_8.txt,[100, 0],100
new_instances\new_random_9.txt,[95, 0],95
